Brand,Product Name,URL,Release Date,Original Review Date,Category,Audience Rating,RR Verdict,Toebox,Pace,Strike Pattern,Material,Terrain,Type,Pros,Cons,Heel stack (mm),Forefoot stack (mm),Drop (mm),Midsole softness (HA),Midsole softness in cold (HA),Midsole softness in cold (%),Insole thickness (mm),Size,Toebox height (mm),Torsional rigidity,Heel counter stiffness,Midsole width - forefoot (mm),Midsole width - heel (mm),Stiffness in cold (N),Stiffness in cold (%),Weight (oz),Weight (g),Breathability,Toebox durability,Heel padding durability,Outsole hardness (HC),Outsole durability (mm),Outsole thickness (mm),Price,Reflective elements,Tongue padding (mm),Tongue: gusset type,Heel tab,Removable insole,Toebox feel,Midfoot feel,Heel feel,Lug depth (mm),Secondary foam softness (HA),Leather/Suede quality,Toe guard durability,Flexibility / Stiffness (average) (N),Toebox width - widest part (average) (mm),Toebox width - big toe (average) (mm)
Nike,Zoom X Vaporfly Next 3,https://runrepeat.com/nike-zoom-x-vaporfly-next-3,"Mar 06, 2023","Nov 27, 2023",Running,87.0,"Our verdict: In our opinion, Nike's latest Vaporfly marks a significant upgrade in the ""original supershoe"" concept. This third iteration, lighter, swifter, and more stable during all of our runs, is a marathon marvel, yet its softer midsole and gentler toe-off make it less suited (but still great!) for 5K/10K races than its predecessors. Faithful to its roots, it elevates the winning combination of a spoon-shaped carbon plate, a springy Pebax midsole, and a lightweight build. And still priced at $250, it remains a high-performance dream for all running aficionados.",,Competition,Heel strike,Knit,Road,"Breathable  |, |, Maximalist  |, |, Lightweight","Exceptionally breathable upper, Outstanding ZoomX cushioning, Superb choice from the mile to the marathon, Impressively low weight, Enhanced stability, Plush, cloud-like foam, Upgraded outsole for better grip","Uncomfortably large tongue, The heel is still too narrow",37.1,26.0,11.1,16.8,21.8,30.0,3.3,True to size,32.5,4.0,3.0,107.6,76.6,59.7,7.0,6.7,190.0,5.0,1.0,5.0,56.1,0.2,1.9,$250,No,2.5,,,No,,,,,,,,37.25,94.4,75.85
Nike,Zoom Fly 6,https://runrepeat.com/nike-zoom-fly-6,,"Jan 15, 2025",Running,93.0,"Our verdict: We were impressed by how the Zoom Fly 6 addressed the shortcomings of its predecessor. With energetic ZoomX foam, a carbon plate, and a lighter build, it performed wonderfully in our lab. In our experience, its fantastic durability and versatility make it a true supertrainer at a fair price. While the snug toebox and narrow dimensions may not suit everyone, we believe this version successfully puts the series back on track.",,"Tempo, Competition",Heel strike,"Mesh  |, Mesh, |, Reflective, Reflective",Road,"Maximalist  |, |, Lightweight","The Zoom Fly is back!, Fairly priced, Versatile, performance-ready supertrainer, Reasonable weight, Can handle all paces, Comfortable upper, Outstanding durability, Amazing for tempo and marathon workouts","Toebox is narrow and restrictive, SR-02 foam lacks bounce, Could be more stable",39.7,30.1,9.6,16.1,17.0,6.0,3.0,True to size,24.5,5.0,4.0,111.9,87.9,40.8,15.0,8.75,248.0,3.0,5.0,5.0,82.0,0.8,3.2,$170,Yes,6.1,Both sides (semi),,Yes,,,,,16.1,,,28.5,90.9,72.6
Adidas,Adizero Prime X 2 Strung,https://runrepeat.com/adidas-adizero-prime-x-2-strung,,"Jul 4, 2024",Running,87.0,"Our verdict: The Prime X 2 Strung is the pinnacle of Adidas's technological innovation, setting a new standard in engineering for running shoes. In our lab examination, we discovered that this shoe integrates a colossal stack height and dual carbon plates, complemented by a quartet of distinct foams and a durable, exceptionally breathable Strung upper. And one of the finest outsoles we've ever put to the test. However, we think its weight makes it less than ideal for racing, positioning it as a $300 supertrainer that almost reached legendary status.",,Competition,Heel strike,"Mesh, Mesh",Road,"Breathable  |, |, Comfortable  |, |, Maximalist","Amazing Strung upper, Impressive durability, Rule-breaker cushioning, Integrated dual carbon plates, Exceptional Continental outsole, Wonderful for long distance training, Stability exceeds expectations, Superior build quality, Screams innovation","Simply too heavy, Exorbitantly priced at $300, Less exhilarating than v1",45.7,36.9,8.8,24.3,27.4,13.0,2.8,True to size,26.1,5.0,1.0,115.2,81.6,83.3,9.0,10.76,305.0,4.0,5.0,5.0,60.4,0.3,1.5,$300,No,1.0,Bootie,Pull tab,Yes,,,,,14.9,,,56.8,94.85,72.55
Brooks,Ghost Max,https://runrepeat.com/brooks-ghost-max,,"Jan 15, 2024",Running,92.0,"Our verdict: The Brooks Ghost Max is like the regular Ghost but on steroids, offering a skyscraper-high midsole combined with a stable ride, especially for heel strikers. In our tests, we were impressed with its performance on long runs and easy days. And despite its substantial size, it's still surprisingly lightweight. The upper is really comfortable and it's well-ventilated, though it does fall short in durability and lacks a gusseted tongue. However, these are minor quibbles in what we found to be an excellent, fairly-priced maximalist option from Brooks, capable of devouring miles with ease.",,Daily running,Heel strike,"Mesh, Vegan, Mesh, ,",Road,"Breathable  |, |, Comfortable  |, |, Maximalist","Exceptionally cushioned, Impressively lightweight for its size, Extremely comfortable, Remarkably stable, Durable outsole with long-lasting performance, A genuine maximalist version of the Ghost, Reasonably priced at $150, Offered in three width options","Tongue is not fixed to the sides, Lacks energy return, Not very flexible",39.8,30.3,9.5,13.0,19.5,50.0,6.1,True to size,,4.0,4.0,115.2,100.2,33.6,3.0,10.26,291.0,4.0,1.0,4.0,80.4,0.5,3.3,$150,No,8.5,,,Yes,,,,,,,,26.9,97.3,79.4
Saucony,Endorphin Elite,https://runrepeat.com/saucony-endorphin-elite,Feb 2023,"Sep 26, 2023",Running,90.0,"Our verdict: With the introduction of the Endorphin Elite, Saucony finally brings a true rival to the Vaporfly based on our tests. This racing shoe isn't just about its aggressive design featuring numerous cutouts—it's a performance beast. The PWRRUN HG midsole delivered to us maximum energy return with every stride during our test runs. To add, it has a durable-yet-grippy outsole ready for both wet and dry conditions, and an upper that's surprisingly roomy. All these premium features come with a premium price of $275, a consideration for budget-conscious runners.",,Competition,Heel strike,"Mesh, Mesh",Road,"Breathable  |, |, Comfortable  |, |, Maximalist  |, |, Lightweight","The finest Saucony racer yet, Remarkably lightweight, Impressively stable, Wide toebox, Ideal for marathons, Excellent foot lockdown, Exceptional energy return from PWRRUN HG, Superb grip in both wet and dry conditions","Priced on the higher side at $275, Not the best pick for heel strikers",39.9,31.9,8.0,17.9,21.0,18.0,5.2,True to size,,5.0,1.0,118.3,91.3,77.5,20.0,7.16,203.0,5.0,1.0,4.0,63.1,0.2,1.4,$275,No,0.9,Both sides (semi),Pull tab,Yes,,,,,,,,43.8,99.6,79.1
Brooks,Glycerin Max,https://runrepeat.com/brooks-glycerin-max,,"Nov 14, 2024",Running,91.0,"Our verdict: The Glycerin Max is Brooks’ ambitious response to the rise of ultra-cushioned running shoes. We found it truly provides cloud-like comfort underfoot, protecting your muscles and joints with its innovative DNA Tuned midsole. We also found that the plush, breathable upper offers a premium, glove-like fit—though this luxurious feel comes at a cost in terms of price and weight, both being higher than we hoped.",,Daily running,Heel strike,"Mesh  |, Mesh, |, Reflective, Reflective",Road,"Breathable  |, |, Comfortable  |, |, For heavy runners  |, |, For big guys  |, |, Maximalist","Massive cushioning, Luxurious yet breathable upper, Innovative DNA Tuned midsole, Eye-catching look, Surprisingly stable, Can be used as a walking shoe, Premium materials","Too heavy, Bulky, non-gusseted tongue, Poor rubber coverage, High price tag",42.3,35.7,6.6,19.9,23.3,17.0,6.0,True to size,28.8,4.0,3.0,118.8,90.8,39.5,20.0,10.76,305.0,5.0,3.0,4.0,69.0,1.2,3.1,$200,Yes,14.0,,Extended heel collar,Yes,,,,,19.9,,,25.6,96.25,76.69999999999999
Asics,Gel Cumulus 26,https://runrepeat.com/asics-gel-cumulus-26,,"Apr 25, 2024",Running,88.0,"Our verdict: We think the ASICS Cumulus 26 is a solid, versatile daily trainer that provides good cushioning and handles multiple paces and distances well. However, fans of previous models might be disappointed with changes that affect the shoe's rigidity and the new rubberized EVA outsole—a notable shift from earlier versions. And while we find it to be a superb pick for the average runner, it may not satisfy those who prefer a more flexible and natural ride.",,Daily running,Heel strike,"Mesh, Mesh",Road,"Comfortable  |, |, Maximalist","Great value, Versatile across various paces, Cushioned ride, PureGEL heel insert, Enhanced stability, True all-rounder, Lightweight for its category","Outsole durability issues, Limited traction off-road, Lacks breathability",36.8,28.6,8.2,18.6,23.1,24.0,5.1,True to size,29.2,4.0,5.0,120.0,100.0,33.7,38.0,9.14,259.0,3.0,4.0,5.0,54.9,2.4,6.0,$140,No,3.5,Both sides (semi),,Yes,,,,,,,,20.45,95.85,75.0
Brooks,Caldera 7,https://runrepeat.com/brooks-caldera-7,,"May 15, 2024",Running,88.0,"Our verdict: The Brooks Caldera is back and better, keeping its star features—tons of cushioning, a ventilated upper, and a stable ride—perfect for easy trails. We were impressed again by its plush and responsive performance during our evaluations. Still, it falls short for technical terrains and could benefit from a lighter design. Based on our tests, the Caldera truly stands out for runners who prioritize a plush ride on the trails.",,,Heel strike,"Mesh, Mesh",Trail,"Breathable  |, |, Comfortable  |, |, Maximalist","Tons of cushioning, Plush DNA Loft v3 foam, Best Caldera to date, Superb upper ventilation, Surprisingly stable, Fairly priced, Can handle ultra races","Still heavy, Outsole could be better, Not for technical trails",36.7,27.8,8.9,15.5,18.6,20.0,5.3,True to size,25.0,4.0,4.0,118.6,105.2,35.7,20.0,10.76,305.0,5.0,3.0,4.0,90.4,1.2,2.0,$150,No,3.8,Both sides (semi),,Yes,,,,4.0,,,,29.7,97.5,77.30000000000001
Brooks,Glycerin 20,https://runrepeat.com/brooks-glycerin-20,Jul 2022,"Oct 25, 2023",Running,89.0,"Our verdict: The Glycerin 20 from Brooks has totally proved the hype around it! With its luxe comfort and a touch of pop, we found it to be a fun and lively workhorse that works perfectly for recovery days and long miles on the road. Overall, the Brooks Glycerin 20 is a tried-and-true daily trainer that we identified to be a cozy and reliable pick for both beginners and seasoned road runners.",,Daily running,Heel strike,"Mesh, Vegan, Mesh, ,",Road,"Breathable  |, |, Comfortable  |, |, For heavy runners  |, |, For big guys  |, |, Maximalist","Plush cushion, Awesome step-in feel, Responsive ride, Breathable for hot days, Tank-like build, Weighs less than looks, Awesome value for money, Comfortable fit, Grippy on wet road and gravel","Laces don't stay tied, Heel drop higher than advertised",37.1,24.3,12.8,20.0,24.6,23.0,5.5,True to size,,3.0,3.0,117.4,94.2,36.7,30.0,10.48,297.0,4.0,,,79.5,,3.5,$160,No,7.8,,,Yes,,,,,,,,20.55,95.9,
Asics,Superblast 2,https://runrepeat.com/asics-superblast-2,Jul 2024,"Jul 23, 2024",Running,90.0,"Our verdict: If budget isn't a barrier, we're confident in declaring the ASICS Superblast 2 the ultimate training shoe, and we think it even doubles as an exceptional racer for most. With a world-class midsole, a significantly improved upper, a more effective outsole, and all the cherished features of its predecessor preserved, this shoe excels in speed, cushioning, and versatility. And although it's not the most accommodating for wider feet and has seen a minor increase in weight, we believe that ASICS has surpassed expectations with this update, delivering an exceptional running shoe.",,"Tempo, Competition",Heel strike,"Mesh, Knit  |, Mesh, ,, |, Reflective, Reflective",Road,"Breathable  |, |, Comfortable  |, |, Maximalist","Fantastic new upper, Massive energy return, Improved overall comfort, Grippier outsole without cutouts, Durability enhancements, Excellent weight/cushioning ratio, Supreme stability, Works at every pace and distance, Exceptional performance without a carbon plate","Slight weight gain, Fit remains tight, Minimal tongue padding",42.8,34.6,8.2,18.3,19.8,8.0,4.4,True to size,27.7,5.0,3.0,118.8,97.6,29.8,14.0,8.89,252.0,5.0,4.0,4.0,65.8,0.5,3.1,$200,Yes,1.7,Both sides (semi),Finger loop,Yes,,,,,20.6,,,22.25,96.25,74.44999999999999
Adidas,Adizero Evo Sl,https://runrepeat.com/adidas-adizero-evo-sl,,"Nov 26, 2024",Running,94.0,"Our verdict: We really believe that the Adidas Adizero EVO SL has the potential to transform the running shoe industry. Priced like a daily trainer, it features a 100% Lightstrike Pro midsole and world-class Continental outsole. On top of that, we found it lightweight, well-cushioned, sleek-looking and excellent for a wide range of paces and distances. While the short tongue and horrible laces left room for improvement, the EVO SL delivers a hard-to-believe mix of value, versatility and performance.",,"Daily running, Tempo",Heel strike,"Mesh, Mesh",Road,"Breathable  |, |, Comfortable  |, |, For heavy runners  |, |, Maximalist  |, |, Lightweight","100% Lightstrike Pro superfoam, Exceptional value-to-performance ratio, Low weight, Ultra-breathable upper, Unmatched versatility, Agile and fun ride, Superior Continental rubber, Handles short and long runs with ease, Striking Evo 1-inspired aesthetics","Poor-quality laces, Short, non-gusseted tongue, Toebox durability",36.1,28.1,8.0,21.3,24.0,13.0,2.4,True to size,28.1,4.0,3.0,116.3,87.3,21.3,11.0,7.87,223.0,5.0,1.0,5.0,57.1,0.6,1.6,$150,No,1.5,,,Yes,,,,,,,,14.5,98.1,74.94999999999999
Hoka,Speedgoat 5,https://runrepeat.com/hoka-speedgoat-5,Mar 2022,"Feb 9, 2022",Running,88.0,"Our verdict: The Speedgoat 5 from Hoka remains your reliable and great-value do-everything trail shoe. But if you want to bring the best out of it, take the shoe to a fast run on very technical terrain. On top of this, it ticks all the boxes of an excellent trail shoe. We found this Hoka shoe insanely grippy, durable, and supportive; conquering the great outdoors is an easy feat. Overall, we vouch for the Hoka Speedgoat 5 if you want to go fast and far.",,,Forefoot/Midfoot strike,"Mesh, Mesh",Trail,"Breathable  |, |, Low drop","Super grippy, Springy ride, Stable platform, Extra durable, High impact protection, Lightweight, Breathable, Secure fit, Excellent heel hold","Not for wide feet, Flared collar is not for everyone (style-wise)",27.5,23.7,3.8,11.0,18.0,64.0,2.8,True to size,,2.0,2.0,116.4,97.5,47.0,86.0,9.77,277.0,4.0,,,84.5,,2.5,$155,No,2.3,Both sides (semi),,Yes,,,,3.0,,,,18.7,96.3,
Hoka,Challenger 7,https://runrepeat.com/hoka-challenger-7,Dec 2022,"Dec 28, 2022",Running,85.0,"Our verdict: It dropped “ATR” in the name but the Challenger 7 is still an all-terrain shoe that impressed us with how well it handled both trails and roads. Comfort and protection are next-level in this Hoka shoe, and by dropping some weight it has now what it takes to deliver a very enjoyable ride. It’s not a speedster, but when it comes to cruising for miles and miles, even whole days out, it’s a superb choice.",,,Heel strike,"Mesh, Mesh",Trail,,"Lighter than before, Effective lockdown, Stable and smooth ride, Superior comfort, Plenty protective underfoot, Excellent feel on roads, Grippy on most surfaces, Doubles as a walking shoe","Ride lacks excitement, Not durable outsole, Greater-than-expected drop, Narrow toebox",32.9,24.1,8.8,18.8,23.5,25.0,3.3,True to size,,3.0,4.0,114.1,100.3,32.9,69.0,8.82,250.0,2.0,4.0,2.0,80.1,,1.7,$145,No,8.6,Both sides (full),,Yes,Medium,Normal,Normal,3.1,,,,16.65,95.9,70.5
Skechers,Go Run Max Road 6,https://runrepeat.com/skechers-go-run-max-road-6,,"Nov 27, 2024",Running,90.0,"Our verdict: The Skechers GO RUN Max Road 6 shines for runners who prefer a maximalist shoe for easy-paced miles, jogs, or even just walking. In our experience, its substantial weight and towering stack reduce versatility, but it makes up for this with a comfortable upper, a reliable Goodyear outsole, and an impressively affordable price. We also appreciated its CO2-infused midsole, which also performs better for slow paces than for faster efforts.",,Daily running,Heel strike,"Mesh  |, Mesh, |, Reflective, Reflective",Road,"Breathable  |, |, Comfortable  |, |, For heavy runners  |, |, For big guys  |, |, Maximalist","Maximalist yet affordable, Durable, grippy Goodyear outsole, Plush upper, Machine washable for convenience, Doubles as a walking shoe, Fantastic at easy paces, Rocker-enhanced transitions, CO2-infused midsole","Noticeably heavy, Struggles at faster paces, Lacks energy return",39.7,31.6,8.1,19.8,29.0,47.0,5.3,True to size,27.6,3.0,3.0,113.8,93.8,40.0,36.0,11.25,319.0,4.0,2.0,5.0,75.3,0.7,2.9,$145,Yes,8.0,,Finger loop,Yes,,,,,,,,29.3,98.30000000000001,73.75
